Category,Endpoint,Method,Description,Request Body,Response,Authentication,Role Required,Status Codes,Notes
Authentication,/api/auth/register,POST,User registration,"{""username"": ""string"", ""email"": ""string"", ""password"": ""string"", ""fullName"": ""string"", ""phone"": ""string"", ""dateOfBirth"": ""date"", ""gender"": ""int""}","{""code"": 201, ""message"": ""User registered successfully"", ""result"": {""user"": {""id"": 1, ""username"": ""user1"", ""email"": ""user@email.com"", ""role"": 1}, ""token"": ""jwt_token""}}",None,None,"201: Created, 400: Bad Request, 409: Email/Username exists",Email verification required
Authentication,/api/auth/login,POST,User login,"{""email"": ""string"", ""password"": ""string""}","{""success"": true, ""user"": {""id"": 1, ""username"": ""user1"", ""email"": ""user@email.com"", ""role"": 1}, ""token"": ""jwt_token"", ""refreshToken"": ""refresh_token""}",None,None,"200: Success, 401: Invalid credentials, 423: Account locked",Update LastLogin timestamp
Authentication,/api/auth/logout,POST,User logout,"{""refreshToken"": ""string""}","{""success"": true, ""message"": ""Logged out successfully""}",Bearer Token,Any,"200: Success, 401: Unauthorized",Invalidate refresh token
Authentication,/api/auth/refresh,POST,Refresh access token,"{""refreshToken"": ""string""}","{""success"": true, ""token"": ""new_jwt_token"", ""refreshToken"": ""new_refresh_token""}",None,None,"200: Success, 401: Invalid refresh token",Generate new token pair
Authentication,/api/auth/forgot-password,POST,Request password reset,"{""email"": ""string""}","{""success"": true, ""message"": ""Reset link sent to email""}",None,None,"200: Success, 404: Email not found",Send reset email with token
Authentication,/api/auth/reset-password,POST,Reset password with token,"{""token"": ""string"", ""newPassword"": ""string""}","{""success"": true, ""message"": ""Password reset successfully""}",None,None,"200: Success, 400: Invalid/expired token",Clear reset token after use
Authentication,/api/auth/verify-email,POST,Verify email address,"{""token"": ""string""}","{""success"": true, ""message"": ""Email verified successfully""}",None,None,"200: Success, 400: Invalid/expired token",Update EmailVerified flag
Authentication,/api/auth/resend-verification,POST,Resend verification email,"{""email"": ""string""}","{""success"": true, ""message"": ""Verification email sent""}",None,None,"200: Success, 400: Already verified, 404: User not found",Generate new verification token

Users,/api/users/profile,GET,Get current user profile,None,"{""id"": 1, ""username"": ""user1"", ""email"": ""user@email.com"", ""fullName"": ""John Doe"", ""phone"": ""0123456789"", ""avatar"": ""url"", ""role"": 1, ""isActive"": true, ""emailVerified"": true}",Bearer Token,Any,"200: Success, 401: Unauthorized",Include user preferences and settings
Users,/api/users/profile,PUT,Update user profile,"{""fullName"": ""string"", ""phone"": ""string"", ""avatar"": ""string"", ""dateOfBirth"": ""date"", ""gender"": ""int"", ""address"": ""string"", ""socialLinks"": {}, ""notificationPreferences"": {}}","{""success"": true, ""user"": {""updated_user_data""}}",Bearer Token,Any,"200: Success, 400: Invalid data, 401: Unauthorized",Validate phone format and other fields
Users,/api/users/change-password,PUT,Change user password,"{""currentPassword"": ""string"", ""newPassword"": ""string""}","{""success"": true, ""message"": ""Password changed successfully""}",Bearer Token,Any,"200: Success, 400: Invalid current password, 401: Unauthorized",Hash new password before saving
Users,/api/users/upload-avatar,POST,Upload user avatar,FormData with image file,"{""success"": true, ""avatarUrl"": ""https://cdn.example.com/avatar.jpg""}",Bearer Token,Any,"200: Success, 400: Invalid file, 413: File too large",Support JPG/PNG, max 5MB
